t,energy
5.274808779358863831e-02,8.041752874851226807e-02
1.030635535717010498e-01,7.549159973859786987e-02
1.509334594011306763e-01,7.171260565519332886e-02
2.037029415369033813e-01,6.810769438743591309e-02
2.537723779678344727e-01,6.505783647298812866e-02
3.009816706180572510e-01,6.242998316884040833e-02
3.532603085041046143e-01,5.974564701318740845e-02
4.025013148784637451e-01,5.739751085638999939e-02
4.527682065963745117e-01,5.515396222472190857e-02
5.041106939315795898e-01,5.300231277942657471e-02
5.521171092987060547e-01,5.110358446836471558e-02
6.010740995407104492e-01,4.926817864179611206e-02
6.510496735572814941e-01,4.748997092247009277e-02
7.020736932754516602e-01,4.576526209712028503e-02
7.541598677635192871e-01,4.409125074744224548e-02
8.024718165397644043e-01,4.261066392064094543e-02
8.517599105834960938e-01,4.116649553179740906e-02
9.020633101463317871e-01,3.975698724389076233e-02
9.534230828285217285e-01,3.838067874312400818e-02
1.000569462776184082e+00,3.716962411999702454e-02
1.054019451141357422e+00,3.585344925522804260e-02
1.103144884109497070e+00,3.469396010041236877e-02
1.153274655342102051e+00,3.355751186609268188e-02
1.204467177391052246e+00,3.244299069046974182e-02
1.250882983207702637e+00,3.147080168128013611e-02
1.304129719734191895e+00,3.039787523448467255e-02
1.352420330047607422e+00,2.946206368505954742e-02
1.401647448539733887e+00,2.854273468255996704e-02
1.451865673065185547e+00,2.763922326266765594e-02
1.503118634223937988e+00,2.675123326480388641e-02
1.555450797080993652e+00,2.587840147316455841e-02
1.602163314819335938e+00,2.512691542506217957e-02
1.656647443771362305e+00,2.428182400763034821e-02
1.705314159393310547e+00,2.355435863137245178e-02
1.754922389984130859e+00,2.283828333020210266e-02
1.805496335029602051e+00,2.213356085121631622e-02
1.857087373733520508e+00,2.143985033035278320e-02
1.902160406112670898e+00,2.085378021001815796e-02
1.955774545669555664e+00,2.017996460199356079e-02
2.002650737762451172e+00,1.961078681051731110e-02
2.050408124923706055e+00,1.904927194118499756e-02
2.107270479202270508e+00,1.840404793620109558e-02
2.156996011734008789e+00,1.785968802869319916e-02
2.207679510116577148e+00,1.732314378023147583e-02
2.250676393508911133e+00,1.688195951282978058e-02
2.303220987319946289e+00,1.635956577956676483e-02
2.356852769851684570e+00,1.584467291831970215e-02
2.402418613433837891e+00,1.542120985686779022e-02
2.458174705505371094e+00,1.491997390985488892e-02
2.505526781082153320e+00,1.450833585113286972e-02
2.553721427917480469e+00,1.410210132598876953e-02
2.602794170379638672e+00,1.370123028755187988e-02
2.652776479721069336e+00,1.330568827688694000e-02
2.703711509704589844e+00,1.291538029909133911e-02
2.755645751953125000e+00,1.253021880984306335e-02
2.808603048324584961e+00,1.215039379894733429e-02
2.851708173751831055e+00,1.185046974569559097e-02
2.906555891036987305e+00,1.148040592670440674e-02
2.951237440109252930e+00,1.118821371346712112e-02
3.008132457733154297e+00,1.082775462418794632e-02
3.054520130157470703e+00,1.054317131638526917e-02
3.101717472076416016e+00,1.026190817356109619e-02
3.161858081817626953e+00,9.915301576256752014e-03
3.210897684097290039e+00,9.642031975090503693e-03
3.260799407958984375e+00,9.372279979288578033e-03
3.311599969863891602e+00,9.106006473302841187e-03
3.350313663482666016e+00,8.908563293516635895e-03
3.402782917022705078e+00,8.648291230201721191e-03
3.456259727478027344e+00,8.391439914703369141e-03
3.510760545730590820e+00,8.138141594827175140e-03
3.552316665649414062e+00,7.950535044074058533e-03
3.608667850494384766e+00,7.703522220253944397e-03
3.651665449142456055e+00,7.520589511841535568e-03
3.710016727447509766e+00,7.279752753674983978e-03
3.754575967788696289e+00,7.101412862539291382e-03
3.815096139907836914e+00,6.866665557026863098e-03
3.861326932907104492e+00,6.692988798022270203e-03
3.908285617828369141e+00,6.521385163068771362e-03
3.955998897552490234e+00,6.351837888360023499e-03
4.004494190216064453e+00,6.184333004057407379e-03
4.053801059722900391e+00,6.018857005983591080e-03
4.103950500488281250e+00,5.855396389961242676e-03
4.154974937438964844e+00,5.693940911442041397e-03
4.206904888153076172e+00,5.534507334232330322e-03
4.259748935699462891e+00,5.377171561121940613e-03
4.313529014587402344e+00,5.221936851739883423e-03
4.368283271789550781e+00,5.068786907941102982e-03
4.405346393585205078e+00,4.967839457094669342e-03
4.461812973022460938e+00,4.818139597773551941e-03
4.500056266784667969e+00,4.719481803476810455e-03
4.558354377746582031e+00,4.573200829327106476e-03
4.617814540863037109e+00,4.428966436535120010e-03
4.658113479614257812e+00,4.333984572440385818e-03
4.719567298889160156e+00,4.193285014480352402e-03
4.761229038238525391e+00,4.100662190467119217e-03
4.803463935852050781e+00,4.008980933576822281e-03
4.867923259735107422e+00,3.873228793963789940e-03
4.911659240722656250e+00,3.783929161727428436e-03
4.956018447875976562e+00,3.695841878652572632e-03
5.000983715057373047e+00,3.611149732023477554e-03
5.067471027374267578e+00,3.534751245751976967e-03
5.105853557586669922e+00,3.513813717290759087e-03
5.156465053558349609e+00,3.440927248448133469e-03
5.205755233764648438e+00,3.360369475558400154e-03
5.254954338073730469e+00,3.283001715317368507e-03
5.304182052612304688e+00,3.206901485100388527e-03
5.353340625762939453e+00,3.134965430945158005e-03
5.402558803558349609e+00,3.063243580982089043e-03
5.451680183410644531e+00,2.996376715600490570e-03
5.500874519348144531e+00,2.928842790424823761e-03
5.566388607025146484e+00,2.844200935214757919e-03
5.615485668182373047e+00,2.784217009320855141e-03
5.664630413055419922e+00,2.724459394812583923e-03
5.713726520538330078e+00,2.668174682185053825e-03
5.762841701507568359e+00,2.613065997138619423e-03
5.811939716339111328e+00,2.560131018981337547e-03
5.861024856567382812e+00,2.509682439267635345e-03
5.910127639770507812e+00,2.459746086969971657e-03
5.959182739257812500e+00,2.413940150290727615e-03
6.008284568786621094e+00,2.366703469306230545e-03
6.057317256927490234e+00,2.324643544852733612e-03
6.106409549713134766e+00,2.280743559822440147e-03
6.155430316925048828e+00,2.242364920675754547e-03
6.204513549804687500e+00,2.201582537963986397e-03
6.253523349761962891e+00,2.166806953027844429e-03
6.302593708038330078e+00,2.128986874595284462e-03
6.351598262786865234e+00,2.096506999805569649e-03
6.400643348693847656e+00,2.062785904854536057e-03
6.466000556945800781e+00,2.022054977715015411e-03
6.515017509460449219e+00,1.992699457332491875e-03
