t,energy,enstrophy
1.030635535717010498e-01,7.549159973859786987e-02,2.445436000823974609e+00
2.037029415369033813e-01,6.810769438743591309e-02,1.633810520172119141e+00
3.009816706180572510e-01,6.242998316884040833e-02,1.254421949386596680e+00
4.025013148784637451e-01,5.739751085638999939e-02,1.009351849555969238e+00
5.041106939315795898e-01,5.300231277942657471e-02,8.400768041610717773e-01
6.010740995407104492e-01,4.926817864179611206e-02,7.196984887123107910e-01
7.020736932754516602e-01,4.576526209712028503e-02,6.218324303627014160e-01
8.024718165397644043e-01,4.261066392064094543e-02,5.437973737716674805e-01
9.020633101463317871e-01,3.975698724389076233e-02,4.801141917705535889e-01
1.000569462776184082e+00,3.716962411999702454e-02,4.272693693637847900e-01
1.103144884109497070e+00,3.469396010041236877e-02,3.805519044399261475e-01
1.204467177391052246e+00,3.244299069046974182e-02,3.410076797008514404e-01
1.304129719734191895e+00,3.039787523448467255e-02,3.072898685932159424e-01
1.401647448539733887e+00,2.854273468255996704e-02,2.783898413181304932e-01
1.503118634223937988e+00,2.675123326480388641e-02,2.519066929817199707e-01
1.602163314819335938e+00,2.512691542506217957e-02,2.290399968624114990e-01
1.705314159393310547e+00,2.355435863137245178e-02,2.078903019428253174e-01
1.805496335029602051e+00,2.213356085121631622e-02,1.895842254161834717e-01
1.902160406112670898e+00,2.085378021001815796e-02,1.737250387668609619e-01
2.002650737762451172e+00,1.961078681051731110e-02,1.588768362998962402e-01
2.107270479202270508e+00,1.840404793620109558e-02,1.449723988771438599e-01
2.207679510116577148e+00,1.732314378023147583e-02,1.329361349344253540e-01
2.303220987319946289e+00,1.635956577956676483e-02,1.225342899560928345e-01
2.402418613433837891e+00,1.542120985686779022e-02,1.126980707049369812e-01
2.505526781082153320e+00,1.450833585113286972e-02,1.034042388200759888e-01
2.602794170379638672e+00,1.370123028755187988e-02,9.541214257478713989e-02
2.703711509704589844e+00,1.291538029909133911e-02,8.783289045095443726e-02
2.808603048324584961e+00,1.215039379894733429e-02,8.064694702625274658e-02
2.906555891036987305e+00,1.148040592670440674e-02,7.450985163450241089e-02
3.008132457733154297e+00,1.082775462418794632e-02,6.867325305938720703e-02
3.101717472076416016e+00,1.026190817356109619e-02,6.372743844985961914e-02
3.210897684097290039e+00,9.642031975090503693e-03,5.843330174684524536e-02
3.311599969863891602e+00,9.106006473302841187e-03,5.396178364753723145e-02
3.402782917022705078e+00,8.648291230201721191e-03,5.022334307432174683e-02
3.510760545730590820e+00,8.138141594827175140e-03,4.614538699388504028e-02
3.608667850494384766e+00,7.703522220253944397e-03,4.274696111679077148e-02
3.710016727447509766e+00,7.279752753674983978e-03,3.950250148773193359e-02
3.815096139907836914e+00,6.866665557026863098e-03,3.640760108828544617e-02
3.908285617828369141e+00,6.521385163068771362e-03,3.387377038598060608e-02
4.004494190216064453e+00,6.184333004057407379e-03,3.144847229123115540e-02
4.103950500488281250e+00,5.855396389961242676e-03,2.912904880940914154e-02
4.206904888153076172e+00,5.534507334232330322e-03,2.691320888698101044e-02
4.313529014587402344e+00,5.221936851739883423e-03,2.480103261768817902e-02
4.405346393585205078e+00,4.967839457094669342e-03,2.311889827251434326e-02
4.500056266784667969e+00,4.719481803476810455e-03,2.150616608560085297e-02
4.617814540863037109e+00,4.428966436535120010e-03,1.966067403554916382e-02
4.719567298889160156e+00,4.193285014480352402e-03,1.819731481373310089e-02
4.803463935852050781e+00,4.008980933576822281e-03,1.707494817674160004e-02
4.911659240722656250e+00,3.783929161727428436e-03,1.573378220200538635e-02
5.000983715057373047e+00,3.611149732023477554e-03,1.489925570785999298e-02
5.105853557586669922e+00,3.513813717290759087e-03,1.934656873345375061e-02
5.205755233764648438e+00,3.360369475558400154e-03,1.891395635902881622e-02
5.304182052612304688e+00,3.206901485100388527e-03,1.793459802865982056e-02
5.402558803558349609e+00,3.063243580982089043e-03,1.708864420652389526e-02
5.500874519348144531e+00,2.928842790424823761e-03,1.635098643600940704e-02
5.615485668182373047e+00,2.784217009320855141e-03,1.565158553421497345e-02
5.713726520538330078e+00,2.668174682185053825e-03,1.509046088904142380e-02
5.811939716339111328e+00,2.560131018981337547e-03,1.460391655564308167e-02
5.910127639770507812e+00,2.459746086969971657e-03,1.418461464345455170e-02
6.008284568786621094e+00,2.366703469306230545e-03,1.382633019238710403e-02
6.106409549713134766e+00,2.280743559822440147e-03,1.352465059608221054e-02
6.204513549804687500e+00,2.201582537963986397e-03,1.327443122863769531e-02
6.302593708038330078e+00,2.128986874595284462e-03,1.307194586843252182e-02
6.400643348693847656e+00,2.062785904854536057e-03,1.291493698954582214e-02
6.515017509460449219e+00,1.992699457332491875e-03,1.276877336204051971e-02
6.613046169281005859e+00,1.938063185662031174e-03,1.266274135559797287e-02
6.711059570312500000e+00,1.888906816020607948e-03,1.258863322436809540e-02
6.809057235717773438e+00,1.845034421421587467e-03,1.254369504749774933e-02
6.907039642333984375e+00,1.806264976039528847e-03,1.252547465264797211e-02
7.005003929138183594e+00,1.772577874362468719e-03,1.253463327884674072e-02
7.102943897247314453e+00,1.744102919474244118e-03,1.257420890033245087e-02
7.200870990753173828e+00,1.720349420793354511e-03,1.263528224080801010e-02
7.315063953399658203e+00,1.704099937342107296e-03,1.282929349690675735e-02
7.412973880767822266e+00,1.689514960162341595e-03,1.291764155030250549e-02
7.510872840881347656e+00,1.679298467934131622e-03,1.302419696003198624e-02
7.608760833740234375e+00,1.673366758041083813e-03,1.314789894968271255e-02
7.706639289855957031e+00,1.671648118644952774e-03,1.328785903751850128e-02
7.804507732391357422e+00,1.674082712270319462e-03,1.344329398125410080e-02
7.902366638183593750e+00,1.680624438449740410e-03,1.361357048153877258e-02
8.000217437744140625e+00,1.691235927864909172e-03,1.379812881350517273e-02
8.114376068115234375e+00,1.705012982711195946e-03,1.398228853940963745e-02
8.212196350097656250e+00,1.725278329104185104e-03,1.420927327126264572e-02
8.310009002685546875e+00,1.749707153066992760e-03,1.445023622363805771e-02
8.407816886901855469e+00,1.775730284862220287e-03,1.467402745038270950e-02
8.505625724792480469e+00,1.802054233849048615e-03,1.486779749393463135e-02
8.603428840637207031e+00,1.831656787544488907e-03,1.506826747208833694e-02
8.701227188110351562e+00,1.864599995315074921e-03,1.527611352503299713e-02
8.815322875976562500e+00,1.906836754642426968e-03,1.552332192659378052e-02
8.913097381591796875e+00,1.951401820406317711e-03,1.579197123646736145e-02
9.010868072509765625e+00,1.999970525503158569e-03,1.607162691652774811e-02
9.108634948730468750e+00,2.049170434474945068e-03,1.632865704596042633e-02
9.206410408020019531e+00,2.094991970807313919e-03,1.652680151164531708e-02
9.304166793823242188e+00,2.147693885490298271e-03,1.676572486758232117e-02
9.401912689208984375e+00,2.205780707299709320e-03,1.702890545129776001e-02
9.515964508056640625e+00,2.268736716359853745e-03,1.726234517991542816e-02
9.613710403442382812e+00,2.330425661057233810e-03,1.750554144382476807e-02
9.711452484130859375e+00,2.396456897258758545e-03,1.776213012635707855e-02
9.809170722961425781e+00,2.473428845405578613e-03,1.808456145226955414e-02
9.906881332397460938e+00,2.538709901273250580e-03,1.828832179307937622e-02
1.000456333160400391e+01,2.571373246610164642e-03,1.821910589933395386e-02
1.010223293304443359e+01,2.609305782243609428e-03,1.818219386041164398e-02
1.021612644195556641e+01,2.678746590390801430e-03,1.831295341253280640e-02
1.031378746032714844e+01,2.718109637498855591e-03,1.826361566781997681e-02
1.041142940521240234e+01,2.765138866379857063e-03,1.826004497706890106e-02
1.050906848907470703e+01,2.808697056025266647e-03,1.822281628847122192e-02
1.060671234130859375e+01,2.850028453394770622e-03,1.816248334944248199e-02
1.070435428619384766e+01,2.893127501010894775e-03,1.810664683580398560e-02
1.080198287963867188e+01,2.941358601674437523e-03,1.807632483541965485e-02
1.091588783264160156e+01,2.988982712849974632e-03,1.797689683735370636e-02
1.101350784301757812e+01,3.034713445231318474e-03,1.791521161794662476e-02
1.111113643646240234e+01,3.074883716180920601e-03,1.781387813389301300e-02
1.120876312255859375e+01,3.117197193205356598e-03,1.772006601095199585e-02
1.130637264251708984e+01,3.168383846059441566e-03,1.767119579017162323e-02
1.140398311614990234e+01,3.214253811165690422e-03,1.758576743304729462e-02
1.150160026550292969e+01,3.255118150264024734e-03,1.746779866516590118e-02
1.161545944213867188e+01,3.323635319247841835e-03,1.743459887802600861e-02
1.171307277679443359e+01,3.364576492458581924e-03,1.730611547827720642e-02
1.181067657470703125e+01,3.411139827221632004e-03,1.720232516527175903e-02
1.190827178955078125e+01,3.464048728346824646e-03,1.712502911686897278e-02
1.200586700439453125e+01,3.514533396810293198e-03,1.703034341335296631e-02
1.210347175598144531e+01,3.557520918548107147e-03,1.689558476209640503e-02
1.220107555389404297e+01,3.602120792493224144e-03,1.676508970558643341e-02
1.231494235992431641e+01,3.653201274573802948e-03,1.660444401204586029e-02
1.241254234313964844e+01,3.699039341881871223e-03,1.647255197167396545e-02
1.251013660430908203e+01,3.750403411686420441e-03,1.636104099452495575e-02
1.260772228240966797e+01,3.807976376265287399e-03,1.627129875123500824e-02
1.270530605316162109e+01,3.866518381983041763e-03,1.618051715195178986e-02
1.280289554595947266e+01,3.917398862540721893e-03,1.605445332825183868e-02
1.290048789978027344e+01,3.967777360230684280e-03,1.592318527400493622e-02
1.301432514190673828e+01,4.049318376928567886e-03,1.585208997130393982e-02
1.311191177368164062e+01,4.104565829038619995e-03,1.573056168854236603e-02
