t,energy
0.000000000000000000e+00,8.924668282270431519e-02
3.176414221525192261e-02,8.215513825416564941e-02
6.696259230375289917e-02,7.806555926799774170e-02
1.029000058770179749e-01,7.473926246166229248e-02
1.395049393177032471e-01,7.181550562381744385e-02
1.767561137676239014e-01,6.915632635354995728e-02
2.146485745906829834e-01,6.669092178344726562e-02
2.531944215297698975e-01,6.437641382217407227e-02
2.923926711082458496e-01,6.218568980693817139e-02
3.322756588459014893e-01,6.009814888238906860e-02
3.728426992893218994e-01,5.810042098164558411e-02
4.141191542148590088e-01,5.618122220039367676e-02
4.561222791671752930e-01,5.433208122849464417e-02
4.988856315612792969e-01,5.254573374986648560e-02
5.424256920814514160e-01,5.081686750054359436e-02
5.867705345153808594e-01,4.914076253771781921e-02
6.319361329078674316e-01,4.751390963792800903e-02
6.779630184173583984e-01,4.593253508210182190e-02
7.248767614364624023e-01,4.439399391412734985e-02
7.727131247520446777e-01,4.289565235376358032e-02
8.215146660804748535e-01,4.143516346812248230e-02
8.713096976280212402e-01,4.001088440418243408e-02
9.221495985984802246e-01,3.862079977989196777e-02
9.740672111511230469e-01,3.726369515061378479e-02
1.027107238769531250e+00,3.593822196125984192e-02
1.081320643424987793e+00,3.464311361312866211e-02
1.136753916740417480e+00,3.337739408016204834e-02
1.193472266197204590e+00,3.213982656598091125e-02
1.251540780067443848e+00,3.092943504452705383e-02
1.311015009880065918e+00,2.974559925496578217e-02
1.371956110000610352e+00,2.858770266175270081e-02
1.434430599212646484e+00,2.745518833398818970e-02
1.498524546623229980e+00,2.634726092219352722e-02
1.564330577850341797e+00,2.526326477527618408e-02
1.631908655166625977e+00,2.420317195355892181e-02
1.701364874839782715e+00,2.316634356975555420e-02
1.772815942764282227e+00,2.215220220386981964e-02
1.846340060234069824e+00,2.116085588932037354e-02
1.922069072723388672e+00,2.019177004694938660e-02
2.000138282775878906e+00,1.924463920295238495e-02
2.080655813217163086e+00,1.831955462694168091e-02
2.163797378540039062e+00,1.741602644324302673e-02
2.249698638916015625e+00,1.653418317437171936e-02
2.338547229766845703e+00,1.567377150058746338e-02
2.430511951446533203e+00,1.483490597456693649e-02
2.525055885314941406e+00,1.406394876539707184e-02
2.608290195465087891e+00,1.346730720251798630e-02
2.690072298049926758e+00,1.285974308848381042e-02
2.771801471710205078e+00,1.228582672774791718e-02
2.853501319885253906e+00,1.174516975879669189e-02
2.935177087783813477e+00,1.123696006834506989e-02
3.016834259033203125e+00,1.075893081724643707e-02
3.098477363586425781e+00,1.031078863888978958e-02
3.180104494094848633e+00,9.891649708151817322e-03
3.261716127395629883e+00,9.501216933131217957e-03
3.343322038650512695e+00,9.136944077908992767e-03
3.424913167953491211e+00,8.799234405159950256e-03
3.506497621536254883e+00,8.487766608595848083e-03
3.588072061538696289e+00,8.203590288758277893e-03
3.669638633728027344e+00,7.945703342556953430e-03
3.751203536987304688e+00,7.710028439760208130e-03
3.832754611968994141e+00,7.506122812628746033e-03
3.914304256439208984e+00,7.325508631765842438e-03
3.995847940444946289e+00,7.170051336288452148e-03
4.077385902404785156e+00,7.043230347335338593e-03
4.158919334411621094e+00,6.947326473891735077e-03
4.240449428558349609e+00,6.873056292533874512e-03
4.321967601776123047e+00,6.830248050391674042e-03
4.403487682342529297e+00,6.805848330259323120e-03
4.485000133514404297e+00,6.816549226641654968e-03
4.566505908966064453e+00,6.861294619739055634e-03
4.648011684417724609e+00,6.919976789504289627e-03
4.729510784149169922e+00,7.015509996563196182e-03
4.811006546020507812e+00,7.133297156542539597e-03
4.892494201660156250e+00,7.278245873749256134e-03
4.973978042602539062e+00,7.465260569006204605e-03
5.055461406707763672e+00,7.663547992706298828e-03
5.136941432952880859e+00,7.890393957495689392e-03
5.218419075012207031e+00,8.154709823429584503e-03
5.299894332885742188e+00,8.443838916718959808e-03
5.381361961364746094e+00,8.796146139502525330e-03
5.462833404541015625e+00,9.172378107905387878e-03
5.544304847717285156e+00,9.566431865096092224e-03
5.625772476196289062e+00,1.001590862870216370e-02
5.707235336303710938e+00,1.052566058933734894e-02
5.788700580596923828e+00,1.107472740113735199e-02
5.870162487030029297e+00,1.168883405625820160e-02
5.951625347137451172e+00,1.233737543225288391e-02
