t,energy
0.000000000000000000e+00,8.930927515029907227e-02
3.165298327803611755e-02,8.340734988451004028e-02
6.646756082773208618e-02,8.053679019212722778e-02
1.017266884446144104e-01,7.838551700115203857e-02
1.373430937528610229e-01,7.659945636987686157e-02
1.732801645994186401e-01,7.504490017890930176e-02
2.095193415880203247e-01,7.365393638610839844e-02
2.460526973009109497e-01,7.238628715276718140e-02
2.828726768493652344e-01,7.121603935956954956e-02
3.199787139892578125e-01,7.012494653463363647e-02
3.573716282844543457e-01,6.909987330436706543e-02
3.950470983982086182e-01,6.813103705644607544e-02
4.330002367496490479e-01,6.721088290214538574e-02
4.712410867214202881e-01,6.633305549621582031e-02
5.097702145576477051e-01,6.549267470836639404e-02
5.485889911651611328e-01,6.468567252159118652e-02
5.877072215080261230e-01,6.390850991010665894e-02
6.271175742149353027e-01,6.315852701663970947e-02
6.668323278427124023e-01,6.243307888507843018e-02
7.068522572517395020e-01,6.173013895750045776e-02
7.471777796745300293e-01,6.104788929224014282e-02
7.878221273422241211e-01,6.038457527756690979e-02
8.287865519523620605e-01,5.973885208368301392e-02
8.700758218765258789e-01,5.910943821072578430e-02
9.117035269737243652e-01,5.849508941173553467e-02
9.536796212196350098e-01,5.789474397897720337e-02
9.960015416145324707e-01,5.730763822793960571e-02
1.038673400878906250e+00,5.673295632004737854e-02
1.081704020500183105e+00,5.616991966962814331e-02
1.125100016593933105e+00,5.561784282326698303e-02
1.168878912925720215e+00,5.507597327232360840e-02
1.213046789169311523e+00,5.454377084970474243e-02
1.257595658302307129e+00,5.402088910341262817e-02
1.302543401718139648e+00,5.350670218467712402e-02
1.347909569740295410e+00,5.300065129995346069e-02
1.393687486648559570e+00,5.250248312950134277e-02
1.439882755279541016e+00,5.201182886958122253e-02
1.486518979072570801e+00,5.152816325426101685e-02
1.533595323562622070e+00,5.105127021670341492e-02
1.581116557121276855e+00,5.058085173368453979e-02
1.629101753234863281e+00,5.011652410030364990e-02
1.677541971206665039e+00,4.965818300843238831e-02
1.726460218429565430e+00,4.920542240142822266e-02
1.775861859321594238e+00,4.875805601477622986e-02
1.825747132301330566e+00,4.831591621041297913e-02
1.876133918762207031e+00,4.787872731685638428e-02
1.927017331123352051e+00,4.744639247655868530e-02
1.978422999382019043e+00,4.701860249042510986e-02
2.030339956283569336e+00,4.659534245729446411e-02
2.082785129547119141e+00,4.617639631032943726e-02
2.135756015777587891e+00,4.576167836785316467e-02
2.189267396926879883e+00,4.535103589296340942e-02
2.243324756622314453e+00,4.494434222579002380e-02
2.297929048538208008e+00,4.454155638813972473e-02
2.353091001510620117e+00,4.414254799485206604e-02
2.408807992935180664e+00,4.374729096889495850e-02
2.465085268020629883e+00,4.335573315620422363e-02
2.521935224533081055e+00,4.296776652336120605e-02
2.579356670379638672e+00,4.258337616920471191e-02
2.637352705001831055e+00,4.220254346728324890e-02
2.695926189422607422e+00,4.182525724172592163e-02
2.755083084106445312e+00,4.145147651433944702e-02
2.814826011657714844e+00,4.108120501041412354e-02
2.875157594680786133e+00,4.071443900465965271e-02
2.936076879501342773e+00,4.035121202468872070e-02
2.997588872909545898e+00,3.999153152108192444e-02
3.059700012207031250e+00,3.963539004325866699e-02
3.122409343719482422e+00,3.928282856941223145e-02
3.185718536376953125e+00,3.893388807773590088e-02
3.249632596969604492e+00,3.858859091997146606e-02
3.314150094985961914e+00,3.824698179960250854e-02
3.379275083541870117e+00,3.790909796953201294e-02
3.445010900497436523e+00,3.757497295737266541e-02
3.511358022689819336e+00,3.724466264247894287e-02
3.578320026397705078e+00,3.691820800304412842e-02
3.645900487899780273e+00,3.659565001726150513e-02
3.714101552963256836e+00,3.627702966332435608e-02
3.782928943634033203e+00,3.596238791942596436e-02
3.852384328842163086e+00,3.565176948904991150e-02
3.922472953796386719e+00,3.534520789980888367e-02
3.993202924728393555e+00,3.504273295402526855e-02
4.064576625823974609e+00,3.474438562989234924e-02
4.136606216430664062e+00,3.445016592741012573e-02
4.209291934967041016e+00,3.416013717651367188e-02
4.282642841339111328e+00,3.387431055307388306e-02
4.356668949127197266e+00,3.359270095825195312e-02
4.431375980377197266e+00,3.331533074378967285e-02
4.506772041320800781e+00,3.304222598671913147e-02
4.582870006561279297e+00,3.277337923645973206e-02
4.659674644470214844e+00,3.250882774591445923e-02
4.737194538116455078e+00,3.224857151508331299e-02
4.815440177917480469e+00,3.199261799454689026e-02
4.894417762756347656e+00,3.174098581075668335e-02
4.974136829376220703e+00,3.149367868900299072e-02
5.054610729217529297e+00,3.125068545341491699e-02
5.135847091674804688e+00,3.101200424134731293e-02
5.217850685119628906e+00,3.077765554189682007e-02
5.300631046295166016e+00,3.054763004183769226e-02
5.384201526641845703e+00,3.032191470265388489e-02
5.468569278717041016e+00,3.010050393640995026e-02
5.553737640380859375e+00,2.988339960575103760e-02
5.639718055725097656e+00,2.967058494687080383e-02
5.726522445678710938e+00,2.946203574538230896e-02
5.814114570617675781e+00,2.925786748528480530e-02
5.902168750762939453e+00,2.906515076756477356e-02
5.987381935119628906e+00,2.902233041822910309e-02
